date,updateDate,code1,code2,code3,value,source
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,8000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,8200.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,8200.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,53.9,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,1780000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,1780000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,29200.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,30500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,30500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,61.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD,1802000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,1802000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,33400.0,S1
2010-01-01,2010-12-31 00:00:00,shAOk,W/WIN,YLD,22.2,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,34500.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,54.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH,20300.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,909000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH,16400.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,16400.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,17000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD,55.4,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,55.4,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,13600.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/IRR,555000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,PRD/NIRR,602000.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/IRR,7100.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AH/NIRR,15700.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/IRR,7200.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP/NIRR,16100.0,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/IRR,78.2,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,YLD/NIRR,38.3,S1
2010-01-01,2010-12-31 00:00:00,shAId,W/SPR,AP,12300.0,S1
